    WL(nm)   Expt_CD   Calc_CD
    240.00      -.60      -.68
    239.00      -.73      -.84
    238.00      -.90     -1.03
    237.00     -1.11     -1.26
    236.00     -1.35     -1.51
    235.00     -1.61     -1.78
    234.00     -1.88     -2.07
    233.00     -2.18     -2.37
    232.00     -2.50     -2.68
    231.00     -2.84     -3.02
    230.00     -3.20     -3.36
    229.00     -3.55     -3.67
    228.00     -3.88     -3.97
    227.00     -4.16     -4.23
    226.00     -4.40     -4.45
    225.00     -4.61     -4.62
    224.00     -4.80     -4.75
    223.00     -4.96     -4.84
    222.00     -5.08     -4.89
    221.00     -5.16     -4.89
    220.00     -5.20     -4.86
    219.00     -5.22     -4.82
    218.00     -5.20     -4.77
    217.00     -5.12     -4.70
    216.00     -5.00     -4.63
    215.00     -4.85     -4.57
    214.00     -4.70     -4.54
    213.00     -4.58     -4.52
    212.00     -4.50     -4.53
    211.00     -4.46     -4.51
    210.00     -4.40     -4.43
