________________________________________________________________________________
   THE FRACTIONS OF SECONDARY STRUCTURES FROM
   THE CDsstr Program (variable selection method)
     Johnson W.C. Proteins:Struc.Func.Genet. 35, 307-312 (1999)
     Program Modified by Sreerama. N.(Anal.Biochem.,287,252,2000)
     For use with CDPro reference proteins

       BASIS SET OPTIONS AVAILABLE
      _________________________________________________________
      |                                                       |
      | IBasis Ref.Set  Proteins   Secondary Structre WaveLen |
      |    1   SP29   29-SOLUBLE     H1,H2,S1,S2,T,U  178-260 |
      |    2   SP22X  22-SOLUBLE     H,3-10,S,T,P2,U  178-260 |
      |    3   SP37   37-SOLUBLE     H1,H2,S1,S2,T,U  185-240 |
      |    4   SP43   43-SOLUBLE     H1,H2,S1,S2,T,U  190-240 |
      |    5   SP37A  37-SOLUBLE       H,S,P2,T,U     185-240 |
      |    6   SDP42  SP37,5 Denatrd  H1,H2,S1,S2,T,U 185-240 |
      |    7   SDP48  SP43,5 Denatrd  H1,H2,S1,S2,T,U 190-240 |
      |    8   CLSTR  Soluble/Denatr. H1,H2,S1,S2,T,U 190-240 |
      |    9   SMP50  SP37,13 Membran H1,H2,S1,S2,T,U 185-240 |
      |   10   SMP56  SP43,13 Membran H1,H2,S1,S2,T,U 190-240 |
      |_______________________________________________________|
    IPrint  IBasis  
         0       9

    Reference PROTEIN Set Selected: SMP50
                50 Proteins - 37 Soluble + 13 Membrane
    Structures: Helix1, Helix2, Strand1, Strand2, Turns and Unordered


    NUMBER of Segments Calculated

    SUMMARY in ProtSS.out
        Contains Sec. Str. Fractions, RMSD and NRMSD
        RMSD and Normalized-RMSD between Exp and Calc CD spectra
    NRMSD from the three programs generally vary in the order:
        CONTINLL < CDSSTR < SELCON3
    Use CAUTION in drawing CONCLUSIONS from RMSD/NRMSD
________________________________________________________________________________

 Triose Phosphate Isomerase (Test: 245-185 nm)    


 The wavelength range:   245.0  185.0, is different from that of
 the Database proteins:  240.0  185.0
 The No. of CD points =   61

 The wavelengths are modified to be within the valid range

 Beginning wavelength:  240.00; Ending wavelength:  185.00
 Total No of CD points  56
 Secondary structural elements=   6
 Multipilcation FACTOR for CD spectrum= 1.000



 SAMPLE CD: 

                               Triose Phosphate Isomerase (Test: 245-185 nm)    

   -.60   -.73   -.90  -1.11  -1.35  -1.61  -1.88  -2.18  -2.50  -2.84
  -3.20  -3.55  -3.88  -4.16  -4.40  -4.61  -4.80  -4.96  -5.08  -5.16
  -5.20  -5.22  -5.20  -5.12  -5.00  -4.85  -4.70  -4.58  -4.50  -4.46
  -4.40  -4.26  -4.00  -3.60  -3.00  -2.19  -1.20   -.10   1.10   2.40
   3.75   5.14   6.60   8.12   9.40  10.17  10.50  10.54  10.30   9.78
   9.10   8.37   7.60   6.80   5.97   5.13

  Proteins: 49;  CD data: 56;  Sec Str:  6
________________________________________________________________________________


 OUTPUT FROM CDsstr Program

 NbasCD= 49   Nwave= 56   Npro=  1   ncomb=400   icombf=100000 Nsstr=  6


  Basis Set Proteins
  MGLB    HBN     HMRT    T4LS    LDH     LYSM    THML    CYTC    PGK     ECOR
  FLVD    SUBB    GPD     PAPN    SUBN    RNAS    PPSN    BLAC    CHYT    AZU 
  ELAS    GCR     PRAL    CONA    BNJN    TNF     SUDS    BTOX    ColA    IFBP
  GFP     CGA     ADH     CANH    GRS     RHD     RC_V    PS_I    RC_S    AntC
  UCCR    CyCO    Rhod    BRho    CA2+    OMPF    P_Cp    LamB    PhoE

________________________________________________________________________________

 Helix from H and J SVD with all basis proteins is   .477


________________________________________________________________________________

  Valid Solutions (combinations):
 Number  SComb  H(r)  H(d)  S(r)  S(d)  Trn   Unrd
  Hmin:   .50;  Hmax:   .56
       1     5   .37   .18   .03   .04   .18   .23
       2     6   .33   .18   .01   .04   .20   .28
       3     8   .36   .15   .07   .06   .17   .16
       4     9   .39   .17   .06   .04   .15   .20
       5    11   .36   .16   .13   .05   .12   .21
       6    14   .38   .16   .08   .05   .15   .22
       7    15   .38   .16   .06   .05   .13   .21
       8    23   .32   .18   .00   .04   .21   .29
       9    27   .33   .17  -.01   .01   .15   .29
      10    29   .38   .15   .11   .03   .15   .15
      11    31   .36   .16   .04   .05   .16   .25
      12    36   .35   .20   .05   .05   .15   .21
      13    39   .38   .12   .11   .00   .19   .21
      14    48   .36   .16   .08   .06   .12   .21
      15    49   .34   .19   .11   .04   .14   .23
      16    57   .36   .17   .06   .03   .12   .23
      17    58   .36   .17   .08   .05   .10   .23
      18    62   .37   .18   .08   .05   .10   .23
      19    68   .36   .17   .07   .07   .14   .19
      20    69   .34   .19   .06   .04   .17   .20
      21    72   .32   .19   .03   .01   .21   .27
      22    76   .35   .18   .00   .06   .20   .24
      23    78   .35   .15   .10   .03   .13   .21
      24    79   .34   .17   .09   .05   .15   .25
      25    80   .38   .15   .09   .04   .11   .21
      26    87   .34   .17   .11   .04   .16   .22
      27    89   .34   .19   .05   .02   .15   .25
      28    91   .35   .15   .09   .05   .14   .19
      29    93   .36   .19   .11   .07   .09   .22
      30    95   .35   .17   .05   .04   .13   .22
      31    96   .37   .17   .08   .04   .13   .20
      32    97   .38   .15   .09   .05   .08   .23
      33    99   .37   .16   .11   .04   .10   .21
      34   107   .41   .12   .12   .05   .09   .18
      35   109   .35   .17   .01   .04   .13   .30
      36   111   .37   .15   .04   .06   .16   .23
      37   112   .37   .16   .04   .04   .18   .20
      38   113   .34   .16   .14   .07   .10   .16
      39   116   .36   .16   .06   .02   .14   .27
      40   118   .33   .19   .12   .06   .09   .24
      41   120   .36   .18   .06   .05   .16   .16
      42   127   .34   .16   .08   .05   .15   .20
      43   129   .34   .18   .01   .08   .19   .24
      44   131   .34   .16   .04   .05   .19   .26
      45   133   .34   .17   .03   .04   .14   .27
      46   136   .29   .21  -.01   .03   .27   .24
      47   138   .40   .16   .10   .04   .08   .22
      48   142   .36   .18   .05   .03   .16   .26
      49   147   .36   .15   .00   .03   .16   .31
      50   148   .35   .16   .06   .04   .14   .26
      51   155   .35   .16   .07   .05   .16   .21
      52   156   .34   .17   .07   .05   .15   .26
      53   157   .38   .17   .08   .05   .13   .22
      54   158   .33   .18   .11   .05   .13   .18
      55   161   .33   .17   .09   .04   .14   .19
      56   166   .36   .14  -.02   .04   .22   .29
      57   167   .38   .15   .10   .04   .10   .22
      58   172   .35   .17   .08   .03   .15   .25
      59   177   .38   .17   .07   .05   .16   .20
      60   178   .38   .16   .09   .04   .13   .22
      61   179   .38   .16   .14   .06   .05   .22
      62   189   .35   .18   .04   .04   .18   .25
      63   192   .37   .16   .09   .04   .14   .24
      64   193   .38   .14   .09   .05   .11   .22
      65   195   .36   .19   .08   .05   .16   .18
      66   204   .34   .19   .06   .08   .20   .16
      67   207   .36   .17   .11   .05   .14   .16
      68   208   .37   .18   .06   .04   .09   .22
      69   209   .34   .17   .01   .04   .19   .26
      70   210   .40   .11   .06   .04   .12   .29
      71   211   .37   .18   .05   .02   .13   .24
      72   212   .38   .16   .07   .04   .13   .20
      73   219   .36   .15   .13   .04   .10   .20
      74   221   .37   .16   .14   .05   .12   .21
      75   223   .34   .17   .07   .05   .14   .20
      76   224   .34   .16   .09   .04   .16   .23
      77   225   .36   .18   .05   .05   .13   .21
      78   228   .34   .18   .12   .07   .13   .18
