  WaveL      Exptl     ReconCD    CalcCD
    240.00      -.60      -.57      -.61
    239.00      -.73      -.72      -.77
    238.00      -.90      -.91      -.96
    237.00     -1.11     -1.13     -1.18
    236.00     -1.35     -1.38     -1.44
    235.00     -1.61     -1.65     -1.70
    234.00     -1.88     -1.92     -1.98
    233.00     -2.18     -2.22     -2.28
    232.00     -2.50     -2.54     -2.60
    231.00     -2.84     -2.88     -2.95
    230.00     -3.20     -3.24     -3.30
    229.00     -3.55     -3.59     -3.64
    228.00     -3.88     -3.92     -3.96
    227.00     -4.16     -4.20     -4.24
    226.00     -4.40     -4.44     -4.47
    225.00     -4.61     -4.65     -4.67
    224.00     -4.80     -4.82     -4.83
    223.00     -4.96     -4.95     -4.95
    222.00     -5.08     -5.04     -5.02
    221.00     -5.16     -5.08     -5.05
    220.00     -5.20     -5.08     -5.04
    219.00     -5.22     -5.05     -5.01
    218.00     -5.20     -5.00     -4.96
    217.00     -5.12     -4.93     -4.89
    216.00     -5.00     -4.84     -4.80
    215.00     -4.85     -4.74     -4.71
    214.00     -4.70     -4.65     -4.63
    213.00     -4.58     -4.59     -4.58
    212.00     -4.50     -4.55     -4.55
    211.00     -4.46     -4.53     -4.51
    210.00     -4.40     -4.46     -4.44
    209.00     -4.26     -4.33     -4.28
    208.00     -4.00     -4.07     -4.00
    207.00     -3.60     -3.67     -3.57
    206.00     -3.00     -3.08     -2.96
    205.00     -2.19     -2.31     -2.18
    204.00     -1.20     -1.36     -1.21
    203.00      -.10      -.26      -.10
    202.00      1.10       .97      1.14
    201.00      2.40      2.36      2.53
    200.00      3.75      3.86      4.02
    199.00      5.14      5.38      5.52
    198.00      6.60      6.87      6.95
    197.00      8.12      8.24      8.23
    196.00      9.40      9.34      9.24
    195.00     10.17     10.05      9.88
    194.00     10.50     10.42     10.19
    193.00     10.54     10.49  
