X,cdtest.txt,X,cdtestBL.txt,X,combination
200.0,-0.00021969466343238326,200.0,-9.986121073377805e-06,200.0,-0.00025790297838083686
200.2,-0.0001397383262583384,200.2,-6.351742116434203e-06,200.2,-0.00024320230579138872
200.4,-3.564220739842329e-05,200.4,-1.620100333535476e-06,200.4,-0.0002225163459975743
200.6,-0.00011013735597331717,200.6,-5.006243450576106e-06,200.6,-0.00023680038177683447
200.8,-7.230563978168587e-05,200.8,-3.286619981807156e-06,200.8,-0.00022686832240751973
201.0,-8.150121285627653e-05,201.0,-3.7046005761067313e-06,201.0,-0.00022698604526986054
201.2,-0.00011804881746513038,201.2,-5.365855336567617e-06,201.2,-0.0002321375558217101
201.4,-0.00011927410551849606,201.4,-5.4215502425712556e-06,201.4,-0.00022986695794420861
201.6,-0.00013245360824742268,201.6,-6.02061855670103e-06,201.6,-0.0002338317161916313
201.8,-0.0001263020012128563,201.8,-5.741000060642814e-06,201.8,-0.0002310179447543966
202.0,-5.782777440873257e-05,202.0,-2.6285352031534263e-06,202.0,-0.00021369772313523347
202.2,-7.25609460278957e-05,202.2,-3.2982248332322617e-06,202.2,-0.00021544843981200726
202.4,-9.918314129775621e-05,202.4,-4.508324590661007e-06,202.4,-0.0002174099592177077
202.6,-0.00015325075803517284,202.6,-6.965943541540328e-06,202.6,-0.0002287330406913281
202.8,-0.00019482110369921165,202.8,-8.855504699818072e-06,202.8,-0.00023746499257125533
203.0,-0.00022242086112795635,203.0,-1.0110039144936326e-05,203.0,-0.00024171258062462102
203.2,-0.0002643841722255913,203.2,-1.201746237113402e-05,203.2,-0.0002509221222255913
203.4,-0.00024144693753790178,203.4,-1.097486079442086e-05,203.4,-0.0002426373284111583
203.6,-0.0002735306246209824,203.6,-1.243321021831413e-05,203.6,-0.0002467150614614918
203.8,-0.00031023953911461495,203.8,-1.410179724075197e-05,203.8,-0.0002497240062765312
204.0,-0.000303853850818678,204.0,-1.3811538659793814e-05,204.0,-0.00024442148135233476
204.2,-0.00033630685263796243,204.2,-1.5286675106124926e-05,204.2,-0.000251121754244997
204.4,-0.0003629260157671316,204.4,-1.6496637083080656e-05,204.4,-0.00025319484260157677
204.6,-0.0003535718617343845,204.6,-1.6071448271679805e-05,204.6,-0.00024977755112189206
204.8,-0.0003712916919345058,204.8,-1.687689508793208e-05,204.8,-0.00025183596118859915
205.0,-0.00038668587022437845,205.0,-1.757663047301395e-05,205.0,-0.00025248931858702243
205.2,-0.0003946876895087932,205.2,-1.7940349514857487e-05,205.2,-0.0002506785104002426
205.4,-0.0004148362644026683,205.4,-1.8856193844754396e-05,205.4,-0.00025067306631291694
205.6,-0.00042704669496664645,205.6,-1.9411213402061854e-05,205.6,-0.0002494941838083687
205.8,-0.00043153123104912067,205.8,-1.9615055942995758e-05,205.8,-0.0002459087463614312
206.0,-0.0004522468162522741,206.0,-2.055667346876895e-05,206.0,-0.000248599633383869
206.2,-0.0004634536082474227,206.2,-2.106607310491207e-05,206.2,-0.0002498776806852638
206.4,-0.00046463614311704067,206.4,-2.1119824681625227e-05,206.4,-0.00024785910194057004
