X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
260,-0.001271162,260,-1.69E-05,260,-0.000361384,260,0
259.8,-0.001168741,259.8,6.50E-05,259.8,-0.000376233,259.8,0
259.6,-0.001232013,259.6,1.44E-05,259.6,-0.000275847,259.6,0
259.4,-0.001102218,259.4,0.000118226,259.4,-0.000228388,259.4,0
259.2,-0.001020881,259.2,0.000183295,259.2,-0.000328566,259.2,0
259,-0.001138039,259,8.96E-05,259,-0.000268987,259,0
258.8,-0.00112835,258.8,9.73E-05,258.8,-0.000201252,258.8,0
258.6,-0.001357522,258.6,-8.60E-05,258.6,-0.000219904,258.6,0
258.4,-0.00152133,258.4,-0.000217064,258.4,-0.000171867,258.4,0
258.2,-0.001506871,258.2,-0.000205497,258.2,-0.000178698,258.2,0
258,-0.001608741,258,-0.000286993,258,-0.000200078,258,0
257.8,-0.001831143,257.8,-0.000464914,257.8,-0.000149775,257.8,0
257.6,-0.001679601,257.6,-0.000343681,257.6,-0.000104388,257.6,0
257.4,-0.001707876,257.4,-0.000366301,257.4,-7.77E-05,257.4,0
257.2,-0.001866643,257.2,-0.000493315,257.2,-0.000175441,257.2,0
257,-0.001601216,257,-0.000280973,257,-0.000347414,257,0
256.8,-0.001616079,256.8,-0.000292863,256.8,-0.00031633,256.8,0
256.6,-0.001678817,256.6,-0.000343054,256.6,-0.000354749,256.6,0
256.4,-0.0017399,256.4,-0.00039192,256.4,-0.000317468,256.4,0
256.2,-0.001755284,256.2,-0.000404227,256.2,-0.000199419,256.2,0
256,-0.00184523,256,-0.000476184,256,-0.000291797,256,0
255.8,-0.00172477,255.8,-0.000379816,255.8,-0.000322208,255.8,0
255.6,-0.001523773,255.6,-0.000219019,255.6,-0.000303487,255.6,0
255.4,-0.00141502,255.4,-0.000132016,255.4,-0.000272819,255.4,0
255.2,-0.00127762,255.2,-2.21E-05,255.2,-0.000289794,255.2,0
255,-0.001251079,255,-8.63E-07,255,-0.000237478,255,0
254.8,-0.001515214,254.8,-0.000212171,254.8,-0.000229097,254.8,0
254.6,-0.001583755,254.6,-0.000267004,254.6,-0.00021595,254.6,0
254.4,-0.001748568,254.4,-0.000398854,254.4,-0.000130199,254.4,0
254.2,-0.001768847,254.2,-0.000415077,254.2,-0.000102903,254.2,0
254,-0.001678308,254,-0.000342647,254,-9.95E-05,254,0
253.8,-0.001888365,253.8,-0.000510692,253.8,-7.78E-05,253.8,0
253.6,-0.001800228,253.6,-0.000440183,253.6,-0.000107614,253.6,0
253.4,-0.001993466,253.4,-0.000594773,253.4,-0.000131002,253.4,0
253.2,-0.002114227,253.2,-0.000691381,253.2,-9.39E-05,253.2,0
253,-0.002059085,253,-0.000647268,253,-0.000124713,253,0
252.8,-0.002068599,252.8,-0.000654879,252.8,-0.000198697,252.8,0
252.6,-0.002126601,252.6,-0.000701281,252.6,-0.000242753,252.6,0
252.4,-0.002107573,252.4,-0.000686058,252.4,-0.000252485,252.4,0
252.2,-0.002220666,252.2,-0.000776533,252.2,-0.000292697,252.2,0
252,-0.002293269,252,-0.000834615,252,-0.000432089,252,0
251.8,-0.002260482,251.8,-0.000808386,251.8,-0.000530393,251.8,0
251.6,-0.002378262,251.6,-0.000902609,251.6,-0.000625189,251.6,0
251.4,-0.002384107,251.4,-0.000907285,251.4,-0.000637367,251.4,0
251.2,-0.002469817,251.2,-0.000975854,251.2,-0.000603419,251.2,0
251,-0.002727711,251,-0.001182169,251,-0.000541151,251,0
250.8,-0.002738797,250.8,-0.001191037,250.8,-0.000585182,250.8,0
250.6,-0.00274784,250.6,-0.001198272,250.6,-0.000636253,250.6,0
250.4,-0.002785283,250.4,-0.001228227,250.4,-0.000598124,250.4,0
250.2,-0.002974427,250.2,-0.001379542,250.2,-0.000661936,250.2,0
250,-0.002980281,250,-0.001384224,250,-0.000582489,250,0
249.8,-0.00315093,249.8,-0.001520744,249.8,-0.000562581,249.8,0
249.6,-0.003326557,249.6,-0.001661246,249.6,-0.000524287,249.6,0
249.4,-0.003367244,249.4,-0.001693795,249.4,-0.000351256,249.4,0
249.2,-0.003537085,249.2,-0.001829668,249.2,-0.00035289,249.2,0
249,-0.00352647,249,-0.001821176,249,-0.000369362,249,0
248.8,-0.003684474,248.8,-0.001947579,248.8,-0.000469533,248.8,0
248.6,-0.003734437,248.6,-0.00198755,248.6,-0.000723612,248.6,0
248.4,-0.003935951,248.4,-0.002148761,248.4,-0.000828395,248.4,0
248.2,-0.004060268,248.2,-0.002248215,248.2,-0.001013339,248.2,0
248,-0.004077971,248,-0.002262376,248,-0.001009808,248,0
247.8,-0.004076791,247.8,-0.002261433,247.8,-0.001033454,247.8,0
247.6,-0.004273506,247.6,-0.002418805,247.6,-0.001126881,247.6,0
247.4,-0.004300981,247.4,-0.002440785,247.4,-0.001070455,247.4,0
247.2,-0.004465455,247.2,-0.002572364,247.2,-0.001136486,247.2,0
247,-0.004553425,247,-0.00264274,247,-0.00116373,247,0
246.8,-0.004401333,246.8,-0.002521067,246.8,-0.001206936,246.8,0
246.6,-0.004325954,246.6,-0.002460763,246.6,-0.001282576,246.6,0
246.4,-0.004507439,246.4,-0.002605951,246.4,-0.001376146,246.4,0
246.2,-0.004655487,246.2,-0.00272439,246.2,-0.001524095,246.2,0
246,-0.00497393,246,-0.002979144,246,-0.001550386,246,0
245.8,-0.005186892,245.8,-0.003149514,245.8,-0.001693655,245.8,0
245.6,-0.005068404,245.6,-0.003054723,245.6,-0.001845599,245.6,0
245.4,-0.005262105,245.4,-0.003209684,245.4,-0.001993102,245.4,0
245.2,-0.005054979,245.2,-0.003043983,245.2,-0.002068519,245.2,0
245,-0.005266232,245,-0.003212986,245,-0.002067713,245,0
244.8,-0.005426621,244.8,-0.003341297,244.8,-0.002171643,244.8,0
244.6,-0.005670269,244.6,-0.003536215,244.6,-0.002095221,244.6,0
244.4,-0.005996341,244.4,-0.003797073,244.4,-0.002336249,244.4,0
244.2,-0.006299858,244.2,-0.004039887,244.2,-0.002575951,244.2,0
244,-0.006489932,244,-0.004191945,244,-0.002803748,244,0
